Banque;Indicateur;Terme;Num_Terme;Annee;Rubrique;Information;Montant
AB;Bilan;Semestre;1;2007;AC1;Annee_Reference;137833
AB;Bilan;Semestre;1;2007;AC1;Arrete_Actuel;165383
AB;Bilan;Semestre;1;2007;AC1;Arrete_Reference;84324
AB;Bilan;Semestre;1;2007;AC2;Annee_Reference;68472
AB;Bilan;Semestre;1;2007;AC2;Arrete_Actuel;83735
AB;Bilan;Semestre;1;2007;AC2;Arrete_Reference;90930
AB;Bilan;Semestre;1;2007;AC3;Annee_Reference;1771475
AB;Bilan;Semestre;1;2007;AC3;Arrete_Actuel;1846102
AB;Bilan;Semestre;1;2007;AC3;Arrete_Reference;1729221
AB;Bilan;Semestre;1;2007;AC4;Annee_Reference;8741
AB;Bilan;Semestre;1;2007;AC4;Arrete_Actuel;4301
AB;Bilan;Semestre;1;2007;AC4;Arrete_Reference;7824
AB;Bilan;Semestre;1;2007;AC5;Annee_Reference;325173
AB;Bilan;Semestre;1;2007;AC5;Arrete_Actuel;325118
AB;Bilan;Semestre;1;2007;AC5;Arrete_Reference;269478
AB;Bilan;Semestre;1;2007;AC6;Annee_Reference;73971
AB;Bilan;Semestre;1;2007;AC6;Arrete_Actuel;84257
AB;Bilan;Semestre;1;2007;AC6;Arrete_Reference;73783
AB;Bilan;Semestre;1;2007;AC7;Annee_Reference;25136
AB;Bilan;Semestre;1;2007;AC7;Arrete_Actuel;42804
AB;Bilan;Semestre;1;2007;AC7;Arrete_Reference;24864
AB;Bilan;Semestre;1;2007;ACT;Annee_Reference;2410801
AB;Bilan;Semestre;1;2007;ACT;Arrete_Actuel;2551700
AB;Bilan;Semestre;1;2007;ACT;Arrete_Reference;2280424
AB;Bilan;Semestre;1;2007;CAP;Annee_Reference;224492
AB;Bilan;Semestre;1;2007;CAP;Arrete_Actuel;228025
AB;Bilan;Semestre;1;2007;CAP;Arrete_Reference;213405
AB;Bilan;Semestre;1;2007;CP1;Annee_Reference;70000
AB;Bilan;Semestre;1;2007;CP1;Arrete_Actuel;70000
AB;Bilan;Semestre;1;2007;CP1;Arrete_Reference;70000
AB;Bilan;Semestre;1;2007;CP2;Annee_Reference;134203
AB;Bilan;Semestre;1;2007;CP2;Arrete_Actuel;147534
AB;Bilan;Semestre;1;2007;CP2;Arrete_Reference;134409
AB;Bilan;Semestre;1;2007;CP3;Annee_Reference;NA
AB;Bilan;Semestre;1;2007;CP3;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2007;CP3;Arrete_Reference;NA
AB;Bilan;Semestre;1;2007;CP4;Annee_Reference;423
AB;Bilan;Semestre;1;2007;CP4;Arrete_Actuel;423
AB;Bilan;Semestre;1;2007;CP4;Arrete_Reference;423
AB;Bilan;Semestre;1;2007;CP5;Annee_Reference;1
AB;Bilan;Semestre;1;2007;CP5;Arrete_Actuel;2
AB;Bilan;Semestre;1;2007;CP5;Arrete_Reference;1
AB;Bilan;Semestre;1;2007;CP6;Annee_Reference;19865
AB;Bilan;Semestre;1;2007;CP6;Arrete_Actuel;10066
AB;Bilan;Semestre;1;2007;CP6;Arrete_Reference;8572
AB;Bilan;Semestre;1;2007;CP7;Annee_Reference;NA
AB;Bilan;Semestre;1;2007;CP7;Arrete_Actuel;NA
AB;Bilan;Semestre;1;2007;CP7;Arrete_Reference;NA
AB;Bilan;Semestre;1;2007;CPP;Annee_Reference;2410801
AB;Bilan;Semestre;1;2007;CPP;Arrete_Actuel;2551700
AB;Bilan;Semestre;1;2007;CPP;Arrete_Reference;2280424
AB;Bilan;Semestre;1;2007;PA1;Annee_Reference;74000
AB;Bilan;Semestre;1;2007;PA1;Arrete_Actuel;46
AB;Bilan;Semestre;1;2007;PA1;Arrete_Reference;NA
AB;Bilan;Semestre;1;2007;PA2;Annee_Reference;30586
AB;Bilan;Semestre;1;2007;PA2;Arrete_Actuel;21909
AB;Bilan;Semestre;1;2007;PA2;Arrete_Reference;44866
AB;Bilan;Semestre;1;2007;PA3;Annee_Reference;1860588
AB;Bilan;Semestre;1;2007;PA3;Arrete_Actuel;2016310
AB;Bilan;Semestre;1;2007;PA3;Arrete_Reference;1812915
AB;Bilan;Semestre;1;2007;PA4;Annee_Reference;210441
AB;Bilan;Semestre;1;2007;PA4;Arrete_Actuel;270176
AB;Bilan;Semestre;1;2007;PA4;Arrete_Reference;200550
AB;Bilan;Semestre;1;2007;PA5;Annee_Reference;10694
AB;Bilan;Semestre;1;2007;PA5;Arrete_Actuel;15234
AB;Bilan;Semestre;1;2007;PA5;Arrete_Reference;8688
AB;Bilan;Semestre;1;2007;PAS;Annee_Reference;2186309
AB;Bilan;Semestre;1;2007;PAS;Arrete_Actuel;2323675
AB;Bilan;Semestre;1;2007;PAS;Arrete_Reference;2067019
AB;Bilan;Semestre;1;2008;AC1;Annee_Reference;204928
AB;Bilan;Semestre;1;2008;AC1;Arrete_Actuel;292414
AB;Bilan;Semestre;1;2008;AC1;Arrete_Reference;165383
AB;Bilan;Semestre;1;2008;AC2;Annee_Reference;76923
AB;Bilan;Semestre;1;2008;AC2;Arrete_Actuel;104382
AB;Bilan;Semestre;1;2008;AC2;Arrete_Reference;83735
AB;Bilan;Semestre;1;2008;AC3;Annee_Reference;1985045
AB;Bilan;Semestre;1;2008;AC3;Arrete_Actuel;2158466
