"";"Banque";"Indicateur";"Terme";"Num_Terme";"Annee";"Rubrique";"Information";"Montant"
"1";"AB";"Activite";"Trimestre";3;2021;"PEB";"Trimestre_Actuel";220270
"2";"AB";"Activite";"Trimestre";3;2021;"PEB";"Trimestre_Reference";206243
"3";"AB";"Activite";"Trimestre";3;2021;"PEB";"Arrete_Actuel";648793
"4";"AB";"Activite";"Trimestre";3;2021;"PEB";"Arrete_Reference";632813
"5";"AB";"Activite";"Trimestre";3;2021;"PEB";"Annee_Reference";856478
"6";"AB";"Activite";"Trimestre";3;2021;"PR1";"Trimestre_Actuel";149228
"7";"AB";"Activite";"Trimestre";3;2021;"PR1";"Trimestre_Reference";145734
"8";"AB";"Activite";"Trimestre";3;2021;"PR1";"Arrete_Actuel";423706
"9";"AB";"Activite";"Trimestre";3;2021;"PR1";"Arrete_Reference";449639
"10";"AB";"Activite";"Trimestre";3;2021;"PR1";"Annee_Reference";601140
"11";"AB";"Activite";"Trimestre";3;2021;"PR2";"Trimestre_Actuel";31389
"12";"AB";"Activite";"Trimestre";3;2021;"PR2";"Trimestre_Reference";28935
"13";"AB";"Activite";"Trimestre";3;2021;"PR2";"Arrete_Actuel";93234
"14";"AB";"Activite";"Trimestre";3;2021;"PR2";"Arrete_Reference";81200
"15";"AB";"Activite";"Trimestre";3;2021;"PR2";"Annee_Reference";113811
"16";"AB";"Activite";"Trimestre";3;2021;"PR3_4";"Trimestre_Actuel";39653
"17";"AB";"Activite";"Trimestre";3;2021;"PR3_4";"Trimestre_Reference";31574
"18";"AB";"Activite";"Trimestre";3;2021;"PR3_4";"Arrete_Actuel";131853
"19";"AB";"Activite";"Trimestre";3;2021;"PR3_4";"Arrete_Reference";101974
"20";"AB";"Activite";"Trimestre";3;2021;"PR3_4";"Annee_Reference";141527
"21";"AB";"Activite";"Trimestre";3;2021;"CEB";"Trimestre_Actuel";102909
"22";"AB";"Activite";"Trimestre";3;2021;"CEB";"Trimestre_Reference";106100
"23";"AB";"Activite";"Trimestre";3;2021;"CEB";"Arrete_Actuel";308518
"24";"AB";"Activite";"Trimestre";3;2021;"CEB";"Arrete_Reference";346760
"25";"AB";"Activite";"Trimestre";3;2021;"CEB";"Annee_Reference";456011
"26";"AB";"Activite";"Trimestre";3;2021;"CH1";"Trimestre_Actuel";100524
"27";"AB";"Activite";"Trimestre";3;2021;"CH1";"Trimestre_Reference";103764
"28";"AB";"Activite";"Trimestre";3;2021;"CH1";"Arrete_Actuel";300811
"29";"AB";"Activite";"Trimestre";3;2021;"CH1";"Arrete_Reference";339701
"30";"AB";"Activite";"Trimestre";3;2021;"CH1";"Annee_Reference";445716
"31";"AB";"Activite";"Trimestre";3;2021;"CH2";"Trimestre_Actuel";2385
"32";"AB";"Activite";"Trimestre";3;2021;"CH2";"Trimestre_Reference";2336
"33";"AB";"Activite";"Trimestre";3;2021;"CH2";"Arrete_Actuel";7707
"34";"AB";"Activite";"Trimestre";3;2021;"CH2";"Arrete_Reference";7059
"35";"AB";"Activite";"Trimestre";3;2021;"CH2";"Annee_Reference";10295
"36";"AB";"Activite";"Trimestre";3;2021;"PNB";"Trimestre_Actuel";117361
"37";"AB";"Activite";"Trimestre";3;2021;"PNB";"Trimestre_Reference";100143
"38";"AB";"Activite";"Trimestre";3;2021;"PNB";"Arrete_Actuel";340275
"39";"AB";"Activite";"Trimestre";3;2021;"PNB";"Arrete_Reference";286053
"40";"AB";"Activite";"Trimestre";3;2021;"PNB";"Annee_Reference";400467
