"";"Banque";"Indicateur";"Terme";"Num_Terme";"Annee";"Rubrique";"Information";"Montant"
"1";"AB";"Bilan";"Semestre";1;2021;"AC1";"Arrete_Actuel";501213
"2";"AB";"Bilan";"Semestre";1;2021;"AC1";"Arrete_Reference";381476
"3";"AB";"Bilan";"Semestre";1;2021;"AC1";"Annee_Reference";425311
"4";"AB";"Bilan";"Semestre";1;2021;"AC2";"Arrete_Actuel";466050
"5";"AB";"Bilan";"Semestre";1;2021;"AC2";"Arrete_Reference";290823
"6";"AB";"Bilan";"Semestre";1;2021;"AC2";"Annee_Reference";232659
"7";"AB";"Bilan";"Semestre";1;2021;"AC3";"Arrete_Actuel";6121170
"8";"AB";"Bilan";"Semestre";1;2021;"AC3";"Arrete_Reference";5849074
"9";"AB";"Bilan";"Semestre";1;2021;"AC3";"Annee_Reference";6003059
"10";"AB";"Bilan";"Semestre";1;2021;"AC4";"Arrete_Actuel";114939
"11";"AB";"Bilan";"Semestre";1;2021;"AC4";"Arrete_Reference";207437
"12";"AB";"Bilan";"Semestre";1;2021;"AC4";"Annee_Reference";135191
"13";"AB";"Bilan";"Semestre";1;2021;"AC5";"Arrete_Actuel";2033123
"14";"AB";"Bilan";"Semestre";1;2021;"AC5";"Arrete_Reference";1705623
"15";"AB";"Bilan";"Semestre";1;2021;"AC5";"Annee_Reference";1979064
"16";"AB";"Bilan";"Semestre";1;2021;"AC6";"Arrete_Actuel";245946
"17";"AB";"Bilan";"Semestre";1;2021;"AC6";"Arrete_Reference";193408
"18";"AB";"Bilan";"Semestre";1;2021;"AC6";"Annee_Reference";208163
"19";"AB";"Bilan";"Semestre";1;2021;"AC7";"Arrete_Actuel";177987
"20";"AB";"Bilan";"Semestre";1;2021;"AC7";"Arrete_Reference";177425
"21";"AB";"Bilan";"Semestre";1;2021;"AC7";"Annee_Reference";194124
"22";"AB";"Bilan";"Semestre";1;2021;"ACT";"Arrete_Actuel";9660428
"23";"AB";"Bilan";"Semestre";1;2021;"ACT";"Arrete_Reference";8805266
"24";"AB";"Bilan";"Semestre";1;2021;"ACT";"Annee_Reference";9177571
"25";"AB";"Bilan";"Semestre";1;2021;"PA1";"Arrete_Actuel";939496
"26";"AB";"Bilan";"Semestre";1;2021;"PA1";"Arrete_Reference";727963
"27";"AB";"Bilan";"Semestre";1;2021;"PA1";"Annee_Reference";764816
"28";"AB";"Bilan";"Semestre";1;2021;"PA2";"Arrete_Actuel";216104
"29";"AB";"Bilan";"Semestre";1;2021;"PA2";"Arrete_Reference";250071
"30";"AB";"Bilan";"Semestre";1;2021;"PA2";"Annee_Reference";259044
"31";"AB";"Bilan";"Semestre";1;2021;"PA3";"Arrete_Actuel";6132793
"32";"AB";"Bilan";"Semestre";1;2021;"PA3";"Arrete_Reference";5703385
"33";"AB";"Bilan";"Semestre";1;2021;"PA3";"Annee_Reference";5861002
"34";"AB";"Bilan";"Semestre";1;2021;"PA4";"Arrete_Actuel";957216
"35";"AB";"Bilan";"Semestre";1;2021;"PA4";"Arrete_Reference";830431
"36";"AB";"Bilan";"Semestre";1;2021;"PA4";"Annee_Reference";968332
"37";"AB";"Bilan";"Semestre";1;2021;"PA5";"Arrete_Actuel";288729
"38";"AB";"Bilan";"Semestre";1;2021;"PA5";"Arrete_Reference";239962
"39";"AB";"Bilan";"Semestre";1;2021;"PA5";"Annee_Reference";210426
"40";"AB";"Bilan";"Semestre";1;2021;"PAS";"Arrete_Actuel";8534338
"41";"AB";"Bilan";"Semestre";1;2021;"PAS";"Arrete_Reference";7751812
"42";"AB";"Bilan";"Semestre";1;2021;"PAS";"Annee_Reference";8063620
"43";"AB";"Bilan";"Semestre";1;2021;"CP1";"Arrete_Actuel";132405
"44";"AB";"Bilan";"Semestre";1;2021;"CP1";"Arrete_Reference";132405
"45";"AB";"Bilan";"Semestre";1;2021;"CP1";"Annee_Reference";132405
"46";"AB";"Bilan";"Semestre";1;2021;"CP2";"Arrete_Actuel";924022
"47";"AB";"Bilan";"Semestre";1;2021;"CP2";"Arrete_Reference";844595
"48";"AB";"Bilan";"Semestre";1;2021;"CP2";"Annee_Reference";844373
"49";"AB";"Bilan";"Semestre";1;2021;"CP3";"Arrete_Actuel";NA
"50";"AB";"Bilan";"Semestre";1;2021;"CP3";"Arrete_Reference";NA
"51";"AB";"Bilan";"Semestre";1;2021;"CP3";"Annee_Reference";NA
"52";"AB";"Bilan";"Semestre";1;2021;"CP4";"Arrete_Actuel";423
"53";"AB";"Bilan";"Semestre";1;2021;"CP4";"Arrete_Reference";423
"54";"AB";"Bilan";"Semestre";1;2021;"CP4";"Annee_Reference";423
"55";"AB";"Bilan";"Semestre";1;2021;"CP5";"Arrete_Actuel";5
"56";"AB";"Bilan";"Semestre";1;2021;"CP5";"Arrete_Reference";37091
"57";"AB";"Bilan";"Semestre";1;2021;"CP5";"Annee_Reference";37091
"58";"AB";"Bilan";"Semestre";1;2021;"CP6";"Arrete_Actuel";69235
"59";"AB";"Bilan";"Semestre";1;2021;"CP6";"Arrete_Reference";38940
"60";"AB";"Bilan";"Semestre";1;2021;"CP6";"Annee_Reference";99659
"61";"AB";"Bilan";"Semestre";1;2021;"CP7";"Arrete_Actuel";NA
"62";"AB";"Bilan";"Semestre";1;2021;"CP7";"Arrete_Reference";NA
"63";"AB";"Bilan";"Semestre";1;2021;"CP7";"Annee_Reference";NA
"64";"AB";"Bilan";"Semestre";1;2021;"CAP";"Arrete_Actuel";1126090
"65";"AB";"Bilan";"Semestre";1;2021;"CAP";"Arrete_Reference";1053454
"66";"AB";"Bilan";"Semestre";1;2021;"CAP";"Annee_Reference";1113951
"67";"AB";"Bilan";"Semestre";1;2021;"CPP";"Arrete_Actuel";9660428
"68";"AB";"Bilan";"Semestre";1;2021;"CPP";"Arrete_Reference";8805266
"69";"AB";"Bilan";"Semestre";1;2021;"CPP";"Annee_Reference";9177571
"70";"AB";"Resultat";"Semestre";1;2021;"PR1";"Arrete_Actuel";274478
"71";"AB";"Resultat";"Semestre";1;2021;"PR1";"Arrete_Reference";303905
"72";"AB";"Resultat";"Semestre";1;2021;"PR1";"Annee_Reference";601140
"73";"AB";"Resultat";"Semestre";1;2021;"PR2";"Arrete_Actuel";61845
"74";"AB";"Resultat";"Semestre";1;2021;"PR2";"Arrete_Reference";52265
"75";"AB";"Resultat";"Semestre";1;2021;"PR2";"Annee_Reference";113811
"76";"AB";"Resultat";"Semestre";1;2021;"PR3";"Arrete_Actuel";24451
"77";"AB";"Resultat";"Semestre";1;2021;"PR3";"Arrete_Reference";20862
"78";"AB";"Resultat";"Semestre";1;2021;"PR3";"Annee_Reference";39444
"79";"AB";"Resultat";"Semestre";1;2021;"PR4";"Arrete_Actuel";67749
"80";"AB";"Resultat";"Semestre";1;2021;"PR4";"Arrete_Reference";49538
"81";"AB";"Resultat";"Semestre";1;2021;"PR4";"Annee_Reference";102083
"82";"AB";"Resultat";"Semestre";1;2021;"PEB";"Arrete_Actuel";428523
"83";"AB";"Resultat";"Semestre";1;2021;"PEB";"Arrete_Reference";426570
"84";"AB";"Resultat";"Semestre";1;2021;"PEB";"Annee_Reference";856478
"85";"AB";"Resultat";"Semestre";1;2021;"CH1";"Arrete_Actuel";-200287
"86";"AB";"Resultat";"Semestre";1;2021;"CH1";"Arrete_Reference";-235937
"87";"AB";"Resultat";"Semestre";1;2021;"CH1";"Annee_Reference";-445716
"88";"AB";"Resultat";"Semestre";1;2021;"CH2";"Arrete_Actuel";-5322
"89";"AB";"Resultat";"Semestre";1;2021;"CH2";"Arrete_Reference";-4723
"90";"AB";"Resultat";"Semestre";1;2021;"CH2";"Annee_Reference";-10295
